DATE,OPEN,HIGH,LOW,CLOSING PRICE,VOLUME
4/12/2018,33076,34010,32911,33900,4513010
4/11/2018,33516,34065,33186,33241,7617140
4/10/2018,33406,33571,33021,33406,11111246
4/9/2018,33296,33626,32966,33406,4479210
4/6/2018,32252,33186,32142,33186,5728110
4/5/2018,32582,32637,32197,32307,2349950
4/4/2018,32417,32582,32142,32417,3408600
4/3/2018,32417,32692,31593,32142,6449810
4/2/2018,33241,33296,32417,32417,6093790
3/30/2018,33626,33681,33021,33186,2577560
3/29/2018,32966,33626,32856,33406,4373560
3/28/2018,32637,33076,32307,32911,2410560
3/27/2018,32197,32911,32197,32637,5798310
3/26/2018,33351,33681,32142,32362,13173962
3/23/2018,33241,34065,33241,33736,5671230
3/22/2018,34615,35329,34340,34505,6635870
3/21/2018,33845,34834,33845,34615,4894590
3/20/2018,34505,34560,33791,33791,3422270
3/19/2018,33516,35109,33516,34670,5421860
3/16/2018,33131,33461,32747,33076,9631780
3/15/2018,33791,33791,33186,33296,4149230
3/14/2018,34010,34230,33900,33955,2677570
3/13/2018,34010,34065,33626,33791,2925900
3/12/2018,33791,34285,33736,34065,2965770
3/9/2018,34065,34285,33626,33791,4852550
3/8/2018,33461,34395,33021,33955,4777230
3/7/2018,33791,35109,33241,33571,6932590
3/6/2018,34065,35219,32527,35109,8588250
3/5/2018,36373,36428,33900,33900,19097710
3/2/2018,35769,36648,35549,36428,7816200
3/1/2018,36208,37252,35714,36648,6536250
2/28/2018,34889,36263,34560,36263,11814630
2/27/2018,35659,35659,34834,35219,10025430
2/26/2018,34560,35494,34175,35384,8813510
2/23/2018,32417,34065,32307,33845,10715740
2/22/2018,32692,32747,32252,32362,5028900
2/21/2018,33791,33955,32802,32966,9729720
2/13/2018,32417,33571,32417,33296,5301840
2/12/2018,32032,32802,31813,32307,6576890
2/9/2018,31208,32637,31208,32032,9078840
2/8/2018,32692,33406,32307,32802,4683450
2/7/2018,33241,33791,32472,32692,7438850
2/6/2018,29175,32637,29175,31867,14973300
2/5/2018,32911,33186,31318,31318,7357220
2/2/2018,33516,33736,32802,33571,3891320
2/1/2018,34230,34615,33241,33516,2813090
1/31/2018,33681,35054,33516,34230,6106990
1/30/2018,33241,33791,32142,33681,10331630
1/29/2018,35439,35714,33791,33791,5172130
1/26/2018,34065,35439,33516,35109,4998360
1/25/2018,35659,35714,33516,33791,15233720
1/22/2018,32692,35054,32692,34944,6702390
1/19/2018,30769,32911,30549,32802,7353090
1/18/2018,29340,30769,29010,30769,5619350
1/17/2018,30439,30879,29450,29450,5064910
1/16/2018,29835,30769,29450,30769,4775350
1/15/2018,28516,29999,28351,29999,3458260
1/12/2018,28571,29065,28131,28626,5443440
1/11/2018,28296,28516,27692,28406,5384530
1/10/2018,29395,29670,27802,28406,6251980
1/9/2018,27362,29065,27307,29065,5834620
1/8/2018,26208,27197,26098,27197,3702750
