DATE,OPEN,HIGH,LOW,CLOSING PRICE,VOLUME
7/31/2019,122500,123200,120200,122000,2930220
7/30/2019,124400,125000,122000,122500,416670
7/29/2019,123000,124400,122100,124400,672270
7/26/2019,122700,123300,121600,122700,2335924
7/25/2019,120600,125100,120600,123200,4087168
7/24/2019,120500,122200,120200,122000,661870
7/22/2019,116000,116500,115000,116500,444900
7/19/2019,114800,116000,114800,116000,546260
7/18/2019,115000,115900,114800,114800,705150
7/17/2019,116000,116300,115000,115500,213640
7/16/2019,115000,116500,114200,115900,973360
7/15/2019,116000,116200,113800,114200,514900
7/12/2019,116900,117000,116000,116000,169920
7/11/2019,117300,117500,115600,116500,423380
7/10/2019,117000,117500,116500,116800,427060
7/9/2019,116000,116100,115200,116000,370669
7/8/2019,116500,116700,115800,116000,443170
7/5/2019,116000,116800,115800,116700,1395400
7/3/2019,115500,116000,114300,115400,260170
7/2/2019,117100,117300,115800,115800,323150
7/1/2019,116700,117200,116100,117200,562110
6/28/2019,115000,115900,113700,115700,489230
6/27/2019,117000,117000,114900,114900,449880
6/26/2019,116300,117000,116000,116900,515020
6/25/2019,116500,117200,116300,116400,595700
6/24/2019,115000,116600,115000,116400,228390
6/21/2019,114700,115900,114500,115900,135220
6/20/2019,114700,115900,114500,115900,409480
6/19/2019,114700,115900,114500,115900,135220
6/18/2019,114700,115000,113800,114000,433860
6/17/2019,115900,116500,113800,114500,491140
6/14/2019,116000,116000,114300,115500,402820
6/13/2019,115200,115900,115200,115500,292940
6/12/2019,117000,117500,116000,116000,458350
6/11/2019,117600,117800,117000,117000,373910
6/10/2019,117200,118700,117200,117600,955890
6/7/2019,116600,117000,116100,117000,1014030
6/6/2019,115900,115900,114400,115900,167500
6/5/2019,115000,115900,115000,115900,244400
6/4/2019,113600,115400,113600,114600,317740
6/3/2019,114000,115500,113000,114500,281510
5/31/2019,115800,115800,114600,114600,296610
5/30/2019,115200,116200,115000,115000,572810
5/29/2019,114900,115400,114000,115200,357950
5/28/2019,116000,116000,114000,114000,603270
5/27/2019,114000,115900,114000,115000,166080
5/24/2019,115500,116200,114300,115000,728560
5/23/2019,117000,117600,116200,117000,249830
5/22/2019,117200,118100,116000,117500,382330
5/21/2019,118700,118700,116300,117500,52226673
5/20/2019,117000,117500,116100,117500,486340
5/17/2019,117000,118100,116100,116900,615260
5/16/2019,115300,118900,115300,116900,813010
5/15/2019,113500,116200,113400,115300,481790
5/14/2019,112000,113500,111900,113500,539280
5/13/2019,111900,112900,111700,112900,439200
5/10/2019,112600,113000,112200,112700,289160
5/9/2019,112700,112700,111600,112600,539140
5/8/2019,111500,112700,111400,112600,348500
5/7/2019,112200,113300,111000,112600,421350
5/6/2019,112000,112300,110200,112200,290580
5/3/2019,113700,113700,112100,112500,705500
5/2/2019,113800,113900,113000,113600,190970
4/26/2019,112000,113700,112000,113700,826050
4/25/2019,113800,113800,112000,113600,503490
4/24/2019,113000,114000,112100,113800,447820
4/23/2019,111900,113000,111000,113000,534660
4/22/2019,109000,111900,107000,111900,854060
4/19/2019,110000,110600,108200,110100,414050
4/18/2019,109500,110000,105000,109000,891240
4/17/2019,111300,113000,110000,110000,980220
4/16/2019,109500,113100,108000,113100,1251190
4/12/2019,115000,115000,113000,113200,578190
4/11/2019,111800,115000,111800,115000,350810
4/10/2019,113000,114000,110900,111800,696000
4/9/2019,116000,116000,112800,113000,1156710
4/8/2019,115200,115800,114800,115500,504660
4/5/2019,115300,115400,114600,115100,431420
4/4/2019,115300,115800,114100,115100,421730
4/3/2019,115500,116000,114500,114900,464270
4/2/2019,116900,117200,116200,116300,1036350
4/1/2019,116400,116500,115800,116500,828430
3/29/2019,115900,116800,115900,115900,1099970
3/28/2019,113900,115900,113900,115900,659590
3/27/2019,115000,115900,113900,113900,908360
3/26/2019,115500,116800,113000,113700,966570
3/25/2019,117000,117300,115000,115200,1089720
3/22/2019,117000,118900,117000,118600,1114660
3/21/2019,120000,120300,117000,117000,1208480
3/20/2019,121000,121000,119100,120200,825590
3/19/2019,121300,122400,120700,121000,1290080
3/18/2019,120000,121300,119100,121300,1114570
3/15/2019,119300,119300,117900,118700,1704580
3/14/2019,116500,118700,115600,118700,1088350
3/13/2019,118500,120000,117000,117500,1262350
3/12/2019,119000,119400,118200,118600,1002200
3/11/2019,117000,118300,117000,118300,698150
3/8/2019,119000,119600,118100,118100,865280
3/7/2019,117900,122500,117800,119200,2197980
3/6/2019,117700,117700,117100,117700,477280
3/5/2019,117400,117800,116900,117300,726060
3/4/2019,116700,117600,115800,117400,660550
3/1/2019,114000,117000,114000,115100,759260
2/28/2019,117000,117400,113100,114000,1244250
2/27/2019,115500,117900,115500,117400,904620
2/26/2019,116000,116600,113500,115500,849550
2/25/2019,117000,117900,115900,116300,624890
2/22/2019,118000,118400,116600,117000,720970
2/21/2019,116500,118400,116300,118400,1162700
2/20/2019,115200,116900,115200,116500,820440
2/19/2019,113500,116600,113500,116000,1022020
2/18/2019,112500,113700,111700,113700,1179150
2/15/2019,113000,113000,112000,112000,670900
2/14/2019,109000,113000,109000,112900,995310
2/13/2019,108000,109300,107200,109000,822040
2/12/2019,104900,109100,104000,109100,869110
2/11/2019,101800,104000,101200,104000,527310
2/1/2019,103800,103800,98800,98800,2152680
1/31/2019,104000,104500,102500,103900,907860
1/30/2019,103900,104000,102900,103900,826880
1/29/2019,104900,104900,103000,103900,1375310
1/28/2019,102900,103700,102600,103700,381260
1/25/2019,102800,103500,102200,102900,506670
1/24/2019,102500,102900,102200,102800,426440
1/23/2019,102000,103700,102000,102600,299570
1/22/2019,102400,102400,101500,102400,258070
1/21/2019,102200,102400,101300,102400,404250
1/18/2019,101500,102200,100900,102200,524290
1/17/2019,102000,102200,100700,102000,325130
1/16/2019,101500,102100,100800,102000,548160
1/15/2019,101400,101500,100400,101500,754450
1/14/2019,101300,101900,100200,101400,582930
1/11/2019,101000,101400,100100,101400,589030
1/10/2019,101200,101500,100000,101400,571980
1/9/2019,101000,101900,99000,101500,659210
1/8/2019,102000,102000,99700,101000,494300
1/7/2019,100900,103000,99900,101000,589150
1/4/2019,100000,100700,98000,100600,478000
1/3/2019,100000,100300,98200,100300,496950
1/2/2019,101200,101300,97500,100400,602450
12/28/2018,103300,103400,95300,95300,381320
12/27/2018,101000,102900,101000,102400,690680
12/26/2018,101000,101900,101000,101900,367750
12/25/2018,100100,101900,100100,101900,293610
12/24/2018,102000,102200,101300,102000,216960
12/21/2018,100500,102000,100000,102000,791040
12/20/2018,101000,102000,100800,101900,387370
12/19/2018,102000,102300,100500,102000,506600
12/18/2018,101800,102000,100000,102000,531470
12/17/2018,102000,102700,101900,102500,205950
12/14/2018,102200,103000,101600,102700,234660
12/13/2018,102500,103900,101800,102800,798630
12/12/2018,102200,102400,102000,102200,423320
12/11/2018,102100,102200,101400,102200,457470
12/10/2018,102000,102200,101100,102100,806730
12/7/2018,102100,102200,101500,102200,460960
12/6/2018,102100,102200,101100,102100,251610
12/5/2018,101900,102200,101000,102100,961240
12/4/2018,102400,102400,101600,102000,1413260
12/3/2018,101800,103000,101300,101900,262710
11/30/2018,101000,102000,97500,101700,1024240
11/29/2018,102500,103000,101700,102000,467130
11/28/2018,101500,102000,100800,102000,577600
11/27/2018,100500,103200,100500,101500,787580
11/26/2018,99000,100500,98000,100500,1042520
11/23/2018,98800,99000,97000,99000,1055870
11/22/2018,97200,98000,96500,98000,1345610
11/21/2018,97000,97300,95000,97300,2109020
11/20/2018,94700,97200,94700,97200,1470120
11/19/2018,90100,96400,90100,96400,1553130
11/16/2018,91700,92500,89800,90100,895700
11/15/2018,94700,94700,90900,91700,3909540
11/14/2018,93600,95100,93400,94700,450950
11/13/2018,94800,95000,93700,93900,598800
11/12/2018,95800,96000,95500,95900,2720990
11/9/2018,95000,96000,95000,95900,602570
11/8/2018,96000,96600,95800,96000,383030
11/7/2018,96300,96300,94300,96000,608180
11/6/2018,96000,96500,95400,95800,698210
11/5/2018,96000,96500,95100,96000,664130
11/2/2018,95600,96700,95500,96000,1572560
11/1/2018,96500,96800,95000,95500,1225020
10/31/2018,95600,97200,95600,97200,2168473
10/30/2018,95500,97300,95500,96600,452080
10/29/2018,95500,97700,95000,97200,643700
10/26/2018,96200,98000,95700,96400,653110
10/25/2018,96700,98200,94600,96800,428050
10/24/2018,98000,99500,97500,98800,1081290
10/23/2018,98100,99000,96500,99000,608750
10/22/2018,98100,99600,97100,99100,856930
10/19/2018,96500,99100,96500,99100,915870
10/18/2018,98500,99200,98000,99100,1503270
10/17/2018,98600,99600,98200,99000,1310430
10/16/2018,95000,98600,94200,98600,4990118
10/15/2018,96000,96700,94000,95500,720500
10/12/2018,93000,97500,92800,96000,1832640
10/11/2018,92000,94400,89900,93000,3366160
10/10/2018,96600,97700,96500,96600,1213420
10/9/2018,96600,97300,96100,96600,944590
10/8/2018,97600,98300,96400,96600,1766100
10/5/2018,99900,100400,98300,98500,11332902
10/4/2018,102100,102200,100600,100600,655150
10/3/2018,103000,103900,101800,102200,860380
10/2/2018,99900,102000,99700,102000,1206840
10/1/2018,99900,102500,98500,98500,1298160
9/28/2018,98600,98600,98100,98300,4432026
9/27/2018,99000,99200,98500,98600,1495670
9/26/2018,99200,99300,99000,99000,505180
9/25/2018,99600,99600,99200,99500,426720
9/24/2018,98600,100300,98600,99600,1596510
9/21/2018,98500,99300,98400,98600,1604980
9/20/2018,98200,99500,98200,98500,4434590
9/19/2018,99600,100100,98500,98600,416470
9/18/2018,98000,99600,98000,99600,680320
9/17/2018,100800,101300,98900,99000,465650
9/14/2018,100300,101500,99700,101000,688370
9/13/2018,101400,102000,100000,100300,672540
9/12/2018,101200,103000,101100,101400,661080
9/11/2018,98500,102000,98500,101200,946370
9/10/2018,98000,99900,97100,99300,1742450
9/7/2018,96100,99000,96100,97200,698830
9/6/2018,101100,101500,98000,98000,1031000
9/5/2018,102100,102800,101500,101500,610500
9/4/2018,103400,103400,102000,102100,373190
8/31/2018,103300,103400,101500,103400,1811230
8/30/2018,103000,103500,102500,103400,1172570
8/29/2018,104200,104200,103000,103000,533720
8/28/2018,103600,104500,103500,104200,617620
8/27/2018,104100,105000,103800,104200,1239360
8/24/2018,104600,105100,103800,104000,1681290
8/23/2018,104000,105900,104000,104600,1808380
8/22/2018,103500,104100,103100,103600,795470
8/21/2018,102500,103100,102000,103100,1041910
8/20/2018,102000,103200,102000,102600,1000000
8/17/2018,102100,103300,102100,102300,599530
8/16/2018,100100,103100,100100,102100,1225510
8/15/2018,103300,104300,101900,101900,644810
8/14/2018,102800,104600,101800,103300,1167680
8/13/2018,103500,104000,101400,102800,1930190
8/10/2018,104000,105800,101000,104200,1885210
8/9/2018,107500,108700,104000,104200,3119240
8/8/2018,109700,110900,108600,108800,1652710
8/7/2018,111000,111500,109900,110300,8423370
8/6/2018,112000,112900,109700,111500,7944740
8/3/2018,107200,112700,106800,111500,2731090
8/2/2018,106500,107400,106200,106700,1629230
8/1/2018,106300,107500,106300,106500,3342370
7/31/2018,106000,107500,105100,106400,1902890
7/30/2018,106900,106900,105600,106400,1158200
7/27/2018,107000,107600,105700,106400,1187590
7/26/2018,105300,106000,104400,106000,1297470
7/25/2018,104500,105400,104100,104400,755570
7/24/2018,104000,105600,104000,104500,3713670
7/23/2018,103600,106500,103300,104000,1881524
7/20/2018,103500,105000,103500,103600,4187590
7/19/2018,105000,105000,103000,105000,2857260
7/18/2018,102500,105000,102500,105000,1918790
7/17/2018,101000,104100,100000,104000,1207830
7/16/2018,103500,103500,101000,102500,6923340
7/13/2018,104200,104200,102000,103000,564040
7/12/2018,104900,104900,101000,103000,357710
7/11/2018,101000,104500,100000,104500,840120
7/10/2018,105000,106500,102500,103000,795030
7/9/2018,106000,107300,104500,105000,701990
7/6/2018,104100,106900,101800,106200,1431620
7/5/2018,104000,107300,103000,106500,1420080
7/4/2018,99500,106200,97000,105000,1971010
7/3/2018,106000,107000,99700,99700,3208300
7/2/2018,106000,108500,106000,107200,953200
6/29/2018,105100,107800,105100,107500,2967850
6/28/2018,105000,110700,105000,107500,1193310
6/27/2018,102143,103961,101647,103465,1177710
6/26/2018,99994,102391,99581,102143,762320
6/25/2018,103300,103300,101647,102226,562650
6/22/2018,103217,103217,101482,101482,461620
6/21/2018,103300,103713,100986,102474,1700320
6/20/2018,101647,103300,100821,103300,872130
6/19/2018,100408,101978,96689,101647,2024310
6/18/2018,102060,104044,101234,101978,1411490
6/15/2018,104126,104788,102060,102060,6270820
6/14/2018,106440,106440,103300,104126,1718250
6/13/2018,100821,105779,100821,105779,2363100
6/12/2018,99168,102969,99168,102804,4086270
6/11/2018,102474,103383,101234,102722,20234437
6/8/2018,101812,103135,100821,102639,902860
6/7/2018,103217,103631,101812,102639,1723360
6/6/2018,99168,102804,97267,102556,2053160
6/5/2018,99168,101234,98011,100077,18496780
6/4/2018,98342,99251,97928,99168,901540
6/1/2018,95367,99168,94210,98342,4327700
5/31/2018,92392,96689,90078,95862,5567040
5/30/2018,90987,93796,87516,91730,1937030
5/29/2018,87846,92144,87681,90904,1820150
5/28/2018,84954,91730,84706,91730,3207380
5/25/2018,86028,91400,82640,88425,3656380
5/24/2018,85119,86772,83632,86028,3157830
5/23/2018,83549,87846,81814,85119,5360420
5/22/2018,91565,94210,87929,87929,4590430
5/21/2018,101647,101647,94540,94540,2255860
5/18/2018,100821,103300,99581,101647,1523270
5/17/2018,107432,107432,101234,101647,1792650
5/16/2018,109085,109085,105779,107432,879210
5/15/2018,110655,111399,109085,109085,1713520
5/14/2018,103300,109085,103300,109085,2385670
5/11/2018,99251,102474,98342,102474,2136320
5/10/2018,101482,101482,99168,99581,9076742
5/9/2018,101317,101812,100656,101565,1685960
5/8/2018,102969,103217,101812,102391,1263540
5/7/2018,102060,103300,102060,102969,1059820
5/4/2018,100490,103383,99168,102887,3214170
5/3/2018,101647,104209,100821,101647,4728270
5/2/2018,104126,104126,99168,103300,5204200
4/27/2018,101399,104540,100821,104126,3015830
4/26/2018,104788,104953,101565,104953,6554440
4/24/2018,99168,105449,97680,104953,8719000
4/23/2018,102474,103961,101482,101812,4834080
4/20/2018,99912,102887,94127,101647,4165000
4/19/2018,106275,106606,99912,99912,5509300
4/18/2018,108258,109085,107349,107349,2455245
4/17/2018,107432,109085,105366,107432,2384910
4/16/2018,105779,106771,102887,106358,1686590
4/13/2018,105779,107928,104953,105449,2093210
4/12/2018,102474,105614,100325,104953,4384600
4/11/2018,108754,110324,102474,104126,5647721
4/10/2018,111564,113052,108258,108258,4563970
4/9/2018,111564,111977,109911,111481,3209490
4/6/2018,107432,109498,107184,109415,1954390
4/5/2018,109085,109911,107184,108258,3260050
4/4/2018,101647,106523,101647,105366,2742546
4/3/2018,100986,101647,99829,101069,2412640
4/2/2018,98094,102887,97515,101647,2458390
3/30/2018,95119,96854,94210,96854,1733950
3/29/2018,94623,95449,93796,95036,3740372
3/28/2018,93383,95862,92722,94623,1452270
3/27/2018,96689,97350,93301,93383,4149210
3/26/2018,90904,96771,89664,94044,4716960
3/23/2018,87268,91896,87185,90491,3663080
3/22/2018,90078,91482,89251,89251,2262170
3/21/2018,86689,89747,86359,89251,3520200
3/20/2018,85119,87185,85119,86111,1045660
3/19/2018,82805,86772,82805,86276,1201010
3/16/2018,82144,83466,82144,82392,4099220
3/15/2018,85037,85037,82227,82227,2784640
3/14/2018,84706,86689,84706,84706,2048400
3/13/2018,82640,85037,82557,84789,1364520
3/12/2018,85119,86028,82392,82640,4176360
3/9/2018,85284,87598,82640,85532,3393390
3/8/2018,80987,86276,80905,85284,2564640
3/7/2018,81400,82640,79748,81483,1554880
3/6/2018,79334,81400,77682,81400,1643590
3/5/2018,78508,82309,77682,77682,2067990
3/2/2018,76029,78921,76029,78095,1626310
3/1/2018,78012,79169,77103,77682,1228940
2/28/2018,76277,78591,76277,78425,1672330
2/27/2018,79748,80078,76442,77268,2312070
2/26/2018,76029,79748,76029,78508,2663650
2/23/2018,75202,76029,75202,75698,1335690
2/22/2018,74376,76029,73632,74789,2059700
2/21/2018,72641,76029,72145,74376,3252580
2/13/2018,70244,71897,69418,71153,1407140
2/12/2018,65286,69087,65286,69087,1443590
2/9/2018,62806,64955,61567,64624,1512070
2/8/2018,66112,66938,65286,65286,1035980
2/7/2018,67765,68509,66938,66938,1569240
2/6/2018,62393,67021,62393,67021,8514630
2/5/2018,70575,71070,67021,67021,2587460
2/2/2018,71484,73136,71484,72062,4141270
2/1/2018,72310,72558,70244,71566,2479800
1/31/2018,70657,73054,70327,71070,6599910
1/30/2018,70657,70905,69004,70244,2610460
1/29/2018,71070,72145,70409,70657,2491760
1/26/2018,71070,71484,70161,70657,1879950
1/25/2018,70244,73963,70244,70327,6858690
1/23/2018,69831,70740,69418,69996,1292950
1/22/2018,69831,70740,69418,70244,1971820
1/19/2018,70244,71236,69418,69418,4665470
1/18/2018,68591,69748,66525,69748,3879642
1/17/2018,71070,71732,68591,69418,5754110
1/16/2018,72062,72310,70244,71070,4450910
1/15/2018,71401,73384,71153,72062,4732570
1/12/2018,67352,71318,67186,70575,5741810
1/11/2018,66773,67930,66195,66938,3508750
1/10/2018,66938,68013,66608,66773,3699730
1/9/2018,66856,68178,66112,66608,3876010
1/8/2018,66112,67682,65368,66360,4139990
1/5/2018,66938,66938,65286,66112,2825160
1/4/2018,67352,68674,66525,66938,2937490
1/3/2018,65699,68756,64955,66525,5014340
1/2/2018,64129,64872,63963,64624,1435130
12/29/2017,64129,66029,63633,63881,2105550
12/28/2017,64046,64872,63963,63963,1109290
12/27/2017,64459,65286,63385,63798,3075370
12/26/2017,64707,65286,64294,64459,2308080
12/25/2017,62806,64459,62641,64459,1508100
12/22/2017,60906,62476,60658,62476,2254940
12/21/2017,61071,62393,60327,60327,1721550
12/20/2017,60575,61071,59831,60740,1746740
12/19/2017,61649,62393,60575,60740,1030760
12/18/2017,59005,61154,59005,61154,1199690
12/15/2017,58426,59253,57931,58013,4205530
12/14/2017,59418,59914,58674,59501,477210
12/13/2017,59088,59666,58592,59501,547600
12/12/2017,60327,60410,57022,58840,1138470
12/11/2017,59501,60492,58674,59501,1087910
12/8/2017,58840,60740,57435,60327,7317290
12/7/2017,59914,60988,58674,59501,1010070
12/6/2017,60823,60823,57765,60327,2680770
12/5/2017,63633,64872,58509,60327,3682370
12/4/2017,62063,63798,61567,62889,1716220
12/1/2017,61567,62311,60988,61649,966230
11/30/2017,62972,63385,61567,61567,1728020
11/29/2017,63633,63633,62889,62972,1354620
11/28/2017,64046,65203,62806,62972,3061850
11/27/2017,61154,65699,59501,62806,2152690
11/24/2017,63220,63220,61567,61567,958280
11/23/2017,62806,64294,62145,63220,1302120
11/22/2017,63633,65120,60740,62806,1670670
11/21/2017,64459,67434,63220,63633,9464030
11/20/2017,59336,63054,59088,63054,6958970
11/17/2017,58013,59501,57765,59005,1822620
11/16/2017,56195,57765,56195,57765,7589287
11/15/2017,56691,57435,55617,57022,8568243
11/14/2017,56608,57435,55699,56691,8328296
11/13/2017,54542,56691,53964,56691,6876680
11/10/2017,56030,58549,54618,55204,43749530
11/9/2017,55782,57848,55369,56691,1902810
11/8/2017,52890,54212,51650,54129,2031740
11/7/2017,50245,51650,49832,51237,1645400
11/6/2017,49915,50245,49584,49997,1023210
11/3/2017,49501,50080,48758,49749,1257960
11/2/2017,48427,49584,48344,49584,1396970
